FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
22753|Colorado River Indian Reservation|Civil|0735R|D2|||04|AZ|1|012|La Paz|33.9317167|-114.3886436|06/27/1984|02/01/2019
22753|Colorado River Indian Reservation|Civil|0735R|D2|||06|CA|2|065|Riverside|33.9317167|-114.3886436|06/27/1984|02/01/2019
22753|Colorado River Indian Reservation|Civil|0735R|D2|||06|CA|3|071|San Bernardino|33.9317167|-114.3886436|06/27/1984|02/01/2019
24003|Fort Mojave Reservation|Civil|1235R|D1|||04|AZ|1|015|Mohave|34.9428837|-114.6094112|06/27/1984|02/01/2019
24003|Fort Mojave Reservation|Civil|1235R|D1|||32|NV|2|003|Clark|34.9428837|-114.6094112|06/27/1984|02/01/2019
24003|Fort Mojave Reservation|Civil|1235R|D1|||06|CA|3|071|San Bernardino|34.9428837|-114.6094112|06/27/1984|02/01/2019
217954|Acampo|Populated Place|00156|U5|0001|060001077|06|CA|1|077|San Joaquin|38.1746398|-121.2785588|01/19/1981|01/29/2011
218011|Agnew|Populated Place|00380|U4|||06|CA|1|085|Santa Clara|37.3946626|-121.9591252|01/19/1981|06/23/2015
218015|Agua Caliente|Populated Place|00408|U3|||06|CA|1|097|Sonoma|38.3240804|-122.4880366|01/19/1981|
218038|Akers|Populated Place|00540|U6|||06|CA|1|077|San Joaquin|37.9982562|-121.2835581|01/19/1981|
218147|Allendale|Populated Place|00996|U5|||06|CA|1|095|Solano|38.4446306|-121.943022|01/19/1981|01/29/2011
218188|Altamont|Populated Place|01346|U6|||06|CA|1|001|Alameda|37.7438175|-121.6627285|01/19/1981|
218191|Alto|Populated Place|01416|U5|||06|CA|1|041|Marin|37.9043701|-122.5255306|01/19/1981|06/29/2015
218194|Alturas Indian Rancheria|Civil|0095R|D2|||06|CA|1|049|Modoc|41.4776544|-120.5244037|01/19/1981|02/01/2019
218196|Alum Rock|Populated Place|01458|U5|0055|060055085|06|CA|1|085|Santa Clara|37.3660513|-121.8271756|01/19/1981|03/21/2008
218372|Arlynda Corners|Populated Place|02672|U6|||06|CA|1|023|Humboldt|40.5948513|-124.2550558|01/19/1981|12/06/2013
218454|Auburn Rancheria|Civil|0120R|D2|||06|CA|1|061|Placer|39.0228756|-121.3243834|01/19/1981|02/01/2019
218477|Avery|Populated Place|03316|U5|0222|060222009|06|CA|1|009|Calaveras|38.204363|-120.3699194|01/19/1981|03/21/2008
218644|Bangor|Populated Place|03792|U5|0248|060248007|06|CA|1|007|Butte|39.3885002|-121.4052424|01/19/1981|01/31/2019
218652|Banta|Populated Place|03848|U6|0257|060257077|06|CA|1|077|San Joaquin|37.7543731|-121.3707773|01/19/1981|
218762|Bayliss|Populated Place|04366|U6|||06|CA|1|021|Glenn|39.5826609|-122.0458116|01/19/1981|
219005|Bellevue|Populated Place|04968|U6|||06|CA|1|097|Sonoma|38.4018573|-122.7135984|01/19/1981|
