TWAY_ID,TWAY_ID2,COUNTY,LATITUDE,LONGITUD,DATE,DAY_WEEK,HOUR,LGT_COND,WEATHER,WRK_ZONE,FATALS,PEDS,MAN_COLL,FUNC_SYS,TYP_INT
SR-51,NO SECOND STREET,SAN MATEO,32.61823889,-85.37138333,2015-01-13,TUESDAY,17,NIGHT,CLEAR,0,1,0,ANGLED,ARTERY,NOT AN INTERSECTION
CR-40,NO SECOND STREET,ALAMEDA,32.52434444,-86.67211944,2015-01-16,FRIDAY,19,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,COLLECTOR,NOT AN INTERSECTION
SR-14,NO SECOND STREET,ALAMEDA,32.43066389,-86.51791667,2015-01-10,SATURDAY,0,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
SR-147,NO SECOND STREET,SAN MATEO,32.61580556,-85.50796111,2015-02-11,WEDNESDAY,11,DAY,CLEAR,0,1,0,HEAD ON,ARTERY,NOT AN INTERSECTION
US-SR 1,NO SECOND STREET,SAN MATEO,32.679275,-85.37018056,2015-02-23,MONDAY,18,NIGHT,CLEAR,0,1,1,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
US-SR 51,GATEWAY DR,SAN MATEO,32.61657222,-85.37138889,2015-03-08,SUNDAY,19,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,T
CR-81,NO SECOND STREET,ALAMEDA,32.50412778,-86.57332778,2015-03-10,TUESDAY,11,DAY,CLEAR,0,1,0,NOT APPLICABLE,COLLECTOR,NOT AN INTERSECTION
FOSTER ST,CLARK AVE,SAN MATEO,32.61595,-85.49899167,2015-04-10,FRIDAY,3,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,COLLECTOR,T
CR-188,HWY 280,SAN MATEO,32.72789444,-85.58121667,2015-04-30,THURSDAY,9,DAY,CLEAR,0,1,0,ANGLED,LOCAL,FOUR WAY
SR-3,NO SECOND STREET,ALAMEDA,32.53463333,-86.45578056,2015-05-04,MONDAY,15,DAY,CLEAR,0,2,0,HEAD ON,ARTERY,NOT AN INTERSECTION
CR-158,NO SECOND STREET,SAN MATEO,32.66621944,-85.18344167,2015-05-24,SUNDAY,14,DAY,CLEAR,0,1,0,NOT APPLICABLE,COLLECTOR,NOT AN INTERSECTION
CR-36,NO SECOND STREET,SAN FRANCISCO,33.84221944,-88.00811389,2015-06-25,THURSDAY,7,DAY,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
CR-NORMAN RD,NO SECOND STREET,MARIN,31.87865278,-86.30703611,2015-06-27,SATURDAY,13,DAY,CLEAR,0,1,0,NOT APPLICABLE,LOCAL,NOT AN INTERSECTION
SR-17,NO SECOND STREET,SAN FRANCISCO,33.66596944,-88.0875,2015-07-20,MONDAY,11,DAY,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
CR-5,NO SECOND STREET,ALAMEDA,32.59590556,-86.82156667,2015-06-12,FRIDAY,7,NIGHT,RAIN,0,1,0,NOT APPLICABLE,LOCAL,NOT AN INTERSECTION
CR-STARHOPE CHURCH RD,NO SECOND STREET,MARIN,31.73813889,-86.22196667,2015-07-14,TUESDAY,19,DAY,CLEAR,0,1,0,NOT APPLICABLE,LOCAL,NOT AN INTERSECTION
